reach_node_index,distance_covered,flow_accumulation
3351077,389,1.02E+07
3353778,390,1.02E+07
3356479,391,1.02E+07
3356480,392,1.02E+07
3356481,393,1.02E+07
3359182,394,1.02E+07
3361883,395,1.02E+07
3364584,396,1.02E+07
3367285,397,1.02E+07
3369986,398,1.02E+07
3372687,399,1.02E+07
3372688,400,1.02E+07
3372689,401,1.02E+07
3372690,402,1.02E+07
3372691,403,1.02E+07
3372692,404,1.02E+07
3372693,405,1.02E+07
3372694,406,1.02E+07
3372695,407,1.02E+07
3372696,408,1.02E+07
3372697,409,1.02E+07
3372698,410,1.02E+07
3375399,411,1.02E+07
3375400,412,1.02E+07
3375401,413,1.02E+07
3375402,414,1.02E+07
3375403,415,1.02E+07
3375404,416,1.02E+07
3375405,417,1.02E+07
3375406,418,1.02E+07
3378107,419,1.02E+07
3378108,420,1.02E+07
3378109,421,1.02E+07
3378110,422,1.02E+07
3380811,423,1.02E+07
3380812,424,1.02E+07
3378113,425,1.02E+07
3375414,426,1.02E+07
3375415,427,1.02E+07
3372716,428,1.02E+07
3370016,429,1.02E+07
3370017,430,1.02E+07
3370018,431,1.02E+07
3370019,432,1.02E+07
3370020,433,1.02E+07
3367321,434,1.02E+07
3367322,435,1.02E+07
3367323,436,1.02E+07
3367324,437,1.02E+07
3367325,438,1.02E+07
3367326,439,1.02E+07
3367327,440,1.02E+07
3367328,441,1.02E+07
3367329,442,1.02E+07
3367330,443,1.02E+07
3367331,444,1.02E+07
3367332,445,1.02E+07
3370033,446,1.02E+07
3370034,447,1.02E+07
3370035,448,1.02E+07
3370036,449,1.02E+07
3372737,450,1.02E+07
3372738,451,1.02E+07
3375439,452,1.02E+07
3375440,453,1.02E+07
3375441,454,1.02E+07
3375442,455,1.02E+07
3378143,456,1.02E+07
3380844,457,1.02E+07
3380845,458,1.02E+07
3380846,459,1.02E+07
3380847,460,1.02E+07
3383548,461,1.02E+07
3383549,462,1.02E+07
3383550,463,1.02E+07
3383551,464,1.02E+07
3383552,465,1.02E+07
3383553,466,1.02E+07
3383554,467,1.02E+07
3383555,468,1.02E+07
3383556,469,1.02E+07
3383557,470,1.02E+07
3383558,471,1.02E+07
3386259,472,1.02E+07
3388960,473,1.02E+07
3391661,474,1.02E+07
3394362,475,1.02E+07
3397063,476,1.02E+07
3397064,477,1.02E+07
3399765,478,1.02E+07
3399766,479,1.02E+07
3402466,480,1.02E+07
3405167,481,1.02E+07
3405168,482,1.02E+07
3405169,483,1.02E+07
3407870,484,1.02E+07
3410571,485,1.02E+07
3410572,486,1.02E+07
3410573,487,1.02E+07
3410574,488,1.02E+07
3410575,489,1.02E+07
3410576,490,1.02E+07
3410577,491,1.02E+07
3410578,492,1.02E+07
3410579,493,1.02E+07
3410580,494,1.02E+07
3410581,495,1.02E+07
3413282,496,1.02E+07
3413283,497,1.02E+07
3413284,498,1.02E+07
3413285,499,1.02E+07
3410586,500,1.02E+07
3410587,501,1.02E+07
